siteID,freq_khz,amp_db,type,direction,distance_m
A025,12,-20.948912,singal,back,8
A025,16,-22.134043,singal,back,8
A025,0.5,-34.125206,singal,back,16
A025,2,-29.344143,singal,back,16
A025,4,-36.765385,singal,back,16
A025,8,-22.989145,singal,back,16
A025,12,-25.560831,singal,back,16
A025,16,-36.176319,singal,back,16
A025,0.5,-36.768745,singal,back,32
A025,2,-42.386639,singal,back,32
A025,4,-38.326839,singal,back,32
A025,8,-33.037975,singal,back,32
A025,12,-34.247196,singal,back,32
A025,16,-41.652981,singal,back,32
A027,0.5,-24.222923,signal,front,4
A027,2,-9.986970,signal,front,4
A027,4,-7.701787,signal,front,4
A027,8,-15.308306,signal,front,4
A027,12,-1.733982,signal,front,4
A027,16,-2.046591,signal,front,4
A027,0.5,-42.347542,signal,front,8
A027,2,-19.856688,signal,front,8
A027,4,-14.223049,signal,front,8
A027,8,-20.212803,signal,front,8
A027,12,-5.173139,signal,front,8
A027,16,-7.458128,signal,front,8
A027,0.5,-40.148773,signal,front,16
A027,2,-30.805002,signal,front,16
A027,4,-34.714054,signal,front,16
A027,8,-26.399593,signal,front,16
A027,12,-15.907613,signal,front,16
A027,16,-18.234217,signal,front,16
A027,0.5,-54.583099,signal,front,32
A027,2,-34.479839,signal,front,32
A027,4,-27.390940,signal,front,32
A027,8,-32.411922,signal,front,32
A027,12,-27.587065,signal,front,32
A027,16,-28.384787,signal,front,32
A027,0.5,-25.764023,signal,back,4
A027,2,-30.243732,signal,back,4
A027,4,-11.607950,signal,back,4
A027,8,-14.748465,signal,back,4
A027,12,-23.473433,signal,back,4
A027,16,-18.187271,signal,back,4
A027,0.5,-37.172474,signal,back,8
A027,2,-24.075050,signal,back,8
A027,4,-17.012957,signal,back,8
A027,8,-23.230452,signal,back,8
A027,12,-18.341267,signal,back,8
A027,16,-26.296413,signal,back,8
A027,0.5,-40.657486,signal,back,16
A027,2,-32.682671,signal,back,16
A027,4,-27.540659,signal,back,16
A027,8,-28.672207,signal,back,16
A027,12,-32.349255,signal,back,16
A027,16,-35.018715,signal,back,16
A027,0.5,-56.678085,signal,back,32
A027,2,-40.111080,signal,back,32
A027,4,-31.513943,signal,back,32
A027,8,-35.113731,signal,back,32
A027,12,-37.379677,signal,back,32
A027,16,-51.897411,signal,back,32
A030,0.5,-18.24381,signal,front,4
A030,2,-21.24327,signal,front,4
A030,4,-5.552531,signal,front,4
A030,8,-3.284225,signal,front,4
A030,12,-0.208363,signal,front,4
A030,16,-2.547979,signal,front,4
A030,0.5,-25.5778,signal,front,8
A030,2,-24.48898,signal,front,8
A030,4,-13.12522,signal,front,8
A030,8,-13.47434,signal,front,8
A030,12,-7.621341,signal,front,8
A030,16,-12.20921,signal,front,8
A030,0.5,-44.41436,signal,front,16
A030,2,-28.84698,signal,front,16
A030,4,-22.8236,signal,front,16
A030,8,-59.31298,signal,front,16
A030,12,-15.34863,signal,front,16
A030,16,-20.92957,signal,front,16
A030,0.5,-56.58557,signal,front,32
A030,2,-41.62774,signal,front,32
A030,4,-33.11464,signal,front,32
A030,8,-27.77875,signal,front,32
A030,12,-27.46958,signal,front,32
A030,16,-32.7143,signal,front,32
A030,0.5,-19.28574,signal,back,4
A030,2,-27.32067,signal,back,4
A030,4,-12.97241,signal,back,4
A030,8,-21.43927,signal,back,4
A030,12,-9.479833,signal,back,4
A030,16,-25.8016,signal,back,4
A030,0.5,-37.75158,signal,back,8
A030,2,-29.61847,signal,back,8
A030,4,-28.55121,signal,back,8
A030,8,-25.27847,signal,back,8
A030,12,-21.27273,signal,back,8
A030,16,-31.54065,signal,back,8
A030,0.5,-44.90102,signal,back,16
A030,2,-29.19098,signal,back,16
A030,4,-28.39992,signal,back,16
A030,8,-33.43129,signal,back,16
A030,12,-23.02846,signal,back,16
A030,16,-39.55579,signal,back,16
A030,0.5,-58.94458,signal,back,32
A030,2,-41.01043,signal,back,32
A030,4,-44.25918,signal,back,32
A030,8,-40.6764,signal,back,32
A030,12,-36.2813,signal,back,32
A030,16,-54.51127,signal,back,32
xA06,0.5,-50.75649,signal,front,4
xA06,2,-47.06342,signal,front,4
xA06,4,-25.68367,signal,front,4
xA06,8,-22.24565,signal,front,4
xA06,12,-7.068905,signal,front,4
xA06,16,-10.48415,signal,front,4
xA06,0.5,-30.2441,signal,front,8
xA06,2,-42.42562,signal,front,8
xA06,4,-33.95699,signal,front,8
xA06,8,-32.7402,signal,front,8
xA06,12,-17.69249,signal,front,8
xA06,16,-13.0306,signal,front,8
xA06,0.5,-67.36105,signal,front,16
xA06,2,-52.40967,signal,front,16
xA06,4,-38.85784,signal,front,16
xA06,8,-40.52435,signal,front,16
xA06,12,-23.36268,signal,front,16
xA06,16,-35.29857,signal,front,16
xA06,0.5,-59.22032,signal,front,32
xA06,2,-59.12701,signal,front,32
xA06,4,-42.39783,signal,front,32
xA06,8,-49.64077,signal,front,32
xA06,12,-31.16351,signal,front,32
xA06,16,-41.46545,signal,front,32
xA06,0.5,NA,signal,back,4
xA06,2,NA,signal,back,4
xA06,4,NA,signal,back,4
xA06,8,NA,signal,back,4
xA06,12,NA,signal,back,4
xA06,16,NA,signal,back,4
xA06,0.5,NA,signal,back,8
xA06,2,NA,signal,back,8
xA06,4,NA,signal,back,8
xA06,8,NA,signal,back,8
xA06,12,NA,signal,back,8
xA06,16,NA,signal,back,8
xA06,0.5,NA,signal,back,16
xA06,2,NA,signal,back,16
xA06,4,NA,signal,back,16
xA06,8,NA,signal,back,16
xA06,12,NA,signal,back,16
xA06,16,NA,signal,back,16
xA06,0.5,NA,signal,back,32
xA06,2,NA,signal,back,32
xA06,4,NA,signal,back,32
xA06,8,NA,signal,back,32
xA06,12,NA,signal,back,32
xA06,16,NA,signal,back,32
xA23,0.5,-35.325272,singal,front,4
xA23,2,-28.556448,singal,front,4
xA23,4,-18.725866,singal,front,4
xA23,8,-10.228018,singal,front,4
xA23,12,-8.749912,singal,front,4
xA23,16,-13.87921,singal,front,4
xA23,0.5,-51.842213,singal,front,8
xA23,2,-38.119392,singal,front,8
xA23,4,-29.860188,singal,front,8
xA23,8,-20.432714,singal,front,8
xA23,12,-12.400815,singal,front,8
xA23,16,-19.397539,singal,front,8
xA23,0.5,-54.527668,singal,front,16
xA23,2,-44.437653,singal,front,16
xA23,4,-37.382141,singal,front,16
xA23,8,-30.396032,singal,front,16
xA23,12,-21.553299,singal,front,16
xA23,16,-28.53174,singal,front,16
xA23,0.5,-58.807182,singal,front,32
xA23,2,-51.07695,singal,front,32
xA23,4,-45.137157,singal,front,32
xA23,8,-32.029751,singal,front,32
xA23,12,-29.31867,singal,front,32
xA23,16,-39.551521,singal,front,32
xA23,0.5,-42.662762,singal,back,4
xA23,2,-23.621832,singal,back,4
xA23,4,-20.052103,singal,back,4
xA23,8,-26.35737,singal,back,4
xA23,12,-23.229176,singal,back,4
xA23,16,-26.751192,singal,back,4
xA23,0.5,-57.228333,singal,back,8
xA23,2,-45.224976,singal,back,8
xA23,4,-24.357855,singal,back,8
xA23,8,-23.685074,singal,back,8
xA23,12,-21.683628,singal,back,8
xA23,16,-33.698673,singal,back,8
xA23,0.5,-50.430767,singal,back,16
xA23,2,-38.440655,singal,back,16
xA23,4,-39.63541,singal,back,16
xA23,8,-30.921644,singal,back,16
xA23,12,-26.263926,singal,back,16
xA23,16,-40.296593,singal,back,16
xA23,0.5,NA,singal,back,32
xA23,2,NA,singal,back,32
xA23,4,NA,singal,back,32
xA23,8,NA,singal,back,32
xA23,12,NA,singal,back,32
xA23,16,NA,singal,back,32
AS1,0.5,-67.957275,ambient,NA,NA
AS1,2,-75.056908,ambient,NA,NA
AS1,4,-77.454529,ambient,NA,NA
AS1,8,-77.703125,ambient,NA,NA
AS1,12,-78.588577,ambient,NA,NA
AS1,16,-76.426041,ambient,NA,NA
AS2,0.5,-53.773312,ambient,NA,NA
AS2,2,-71.232216,ambient,NA,NA
AS2,4,-73.866096,ambient,NA,NA
AS2,8,-78.153679,ambient,NA,NA
AS2,12,-77.977844,ambient,NA,NA
AS2,16,-75.363251,ambient,NA,NA
AS3,0.5,-60.922470,ambient,NA,NA
AS3,2,-68.664017,ambient,NA,NA
AS3,4,-67.400772,ambient,NA,NA
AS3,8,-77.778946,ambient,NA,NA
AS3,12,-77.793098,ambient,NA,NA
AS3,16,-74.776962,ambient,NA,NA
AS4,0.5,-67.439255,ambient,NA,NA
AS4,2,-66.092552,ambient,NA,NA
AS4,4,-70.598961,ambient,NA,NA
AS4,8,-77.528000,ambient,NA,NA
AS4,12,-77.288681,ambient,NA,NA
AS4,16,-75.591400,ambient,NA,NA
AS5,0.5,-73.107780,ambient,NA,NA
AS5,2,-72.497856,ambient,NA,NA
AS5,4,-77.699883,ambient,NA,NA
AS5,8,-77.992226,ambient,NA,NA
AS5,12,-77.831734,ambient,NA,NA
AS5,16,-75.843491,ambient,NA,NA
