Start (s),End (s),Scientific.name,Common.name,Confidence,File
234.0,237.0,Turdus merula,Eurasian Blackbird,0.5631,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
264.0,267.0,Turdus merula,Eurasian Blackbird,0.9281,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
282.0,285.0,Certhia brachydactyla,Short-toed Treecreeper,0.7586,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
285.0,288.0,Turdus merula,Eurasian Blackbird,0.5309,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
294.0,297.0,Turdus merula,Eurasian Blackbird,0.6431,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
303.0,306.0,Certhia brachydactyla,Short-toed Treecreeper,0.9149,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
312.0,315.0,Certhia brachydactyla,Short-toed Treecreeper,0.8169,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
315.0,318.0,Turdus merula,Eurasian Blackbird,0.9271,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
321.0,324.0,Certhia brachydactyla,Short-toed Treecreeper,0.8451,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
330.0,333.0,Turdus merula,Eurasian Blackbird,0.8267,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
354.0,357.0,Certhia brachydactyla,Short-toed Treecreeper,0.9314,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
381.0,384.0,Certhia brachydactyla,Short-toed Treecreeper,0.8701,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
384.0,387.0,Turdus merula,Eurasian Blackbird,0.7410,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
387.0,390.0,Turdus merula,Eurasian Blackbird,0.9150,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
405.0,408.0,Turdus merula,Eurasian Blackbird,0.6557,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
